Lat,Long,Vp,Vs,Rho
-89.0,-40.0,6.55028,3.74031,2772.0
-89.0,-39.0,6.55192,3.74124,2772.7
-89.0,-38.0,6.55356,3.74218,2773.39
-89.0,-37.0,6.5552,3.74311,2774.08
-89.0,-36.0,6.55684,3.74405,2774.78
-89.0,-35.0,6.56478,3.74859,2778.14
-89.0,-34.0,6.57273,3.75312,2781.5
-89.0,-33.0,6.5806700000000005,3.75766,2784.86
-89.0,-32.0,6.58862,3.7622,2788.23
-89.0,-31.0,6.59656,3.76673,2791.59
-89.0,-30.0,6.60451,3.77127,2794.95
-89.0,-29.0,6.61245,3.77581,2798.31
-89.0,-28.0,6.6196,3.77989,2801.34
-89.0,-27.0,6.62744,3.78436,2804.66
-89.0,-26.0,6.63528,3.78884,2807.97
-89.0,-25.0,6.64312,3.79332,2811.29
-89.0,-24.0,6.57195,3.75268,2781.17
-89.0,-23.0,6.57291,3.75322,2781.58
-89.0,-22.0,6.57386,3.75377,2781.98
-89.0,-21.0,6.57482,3.7543200000000003,2782.39
-89.0,-20.0,6.57578,3.75487,2782.79
-89.0,-19.0,6.57674,3.75541,2783.2
-89.0,-18.0,6.5777,3.75596,2783.61
-89.0,-17.0,6.57866,3.75651,2784.01
-89.0,-16.0,6.57961,3.75706,2784.42
-89.0,-15.0,6.58057,3.7576,2784.82
-89.0,-14.0,6.58153,3.75815,2785.23
-89.0,-13.0,6.58249,3.7586999999999997,2785.63
-89.0,-12.0,6.58345,3.7592399999999997,2786.04
-89.0,-11.0,6.58441,3.7597899999999997,2786.44
-89.0,-10.0,6.58536,3.7603400000000002,2786.85
-89.0,-9.0,6.58632,3.76089,2787.26
-89.0,-8.0,6.58728,3.76143,2787.66
-89.0,-7.0,6.58824,3.76198,2788.07
-89.0,-6.0,6.5892,3.7625300000000004,2788.47
-89.0,-5.0,6.59016,3.7630700000000004,2788.88
-89.0,-4.0,6.59111,3.76362,2789.28
-89.0,-3.0,6.59207,3.76417,2789.69
-89.0,-2.0,6.59303,3.7647199999999996,2790.09
-89.0,-1.0,6.59399,3.76526,2790.5
-89.0,0.0,6.59495,3.76581,2790.91
-89.0,1.0,6.59591,3.76636,2791.31
-89.0,2.0,6.5968599999999995,3.7669099999999998,2791.72
-89.0,3.0,6.59782,3.7674499999999997,2792.12
-89.0,4.0,6.59878,3.768,2792.53
-89.0,5.0,6.59974,3.7685500000000003,2792.93
-89.0,6.0,6.6007,3.7690900000000003,2793.34
-89.0,7.0,6.60166,3.76964,2793.74
-89.0,8.0,6.602609999999999,3.77019,2794.15
-89.0,9.0,6.6035699999999995,3.77074,2794.56
-89.0,10.0,6.60453,3.7712800000000004,2794.96
-89.0,11.0,6.60549,3.77183,2795.37
-89.0,12.0,6.60645,3.77238,2795.77
-89.0,13.0,6.60741,3.77292,2796.18
-89.0,14.0,6.608359999999999,3.7734699999999997,2796.58
-89.0,15.0,6.609319999999999,3.77402,2796.99
-89.0,16.0,6.6102799999999995,3.77457,2797.39
-89.0,17.0,6.61124,3.77511,2797.8
-89.0,18.0,6.6122,3.77566,2798.21
-89.0,19.0,6.61316,3.77621,2798.61
-89.0,20.0,6.614109999999999,3.7767600000000003,2799.02
-89.0,21.0,6.615069999999999,3.7773000000000003,2799.42
-89.0,22.0,6.616029999999999,3.77785,2799.83
-89.0,23.0,6.6169899999999995,3.7784,2800.23
-89.0,24.0,6.6179499999999996,3.77894,2800.64
-89.0,25.0,6.69104,3.82068,2831.57
-89.0,26.0,6.68511,3.8173000000000004,2829.06
-89.0,27.0,6.679189999999999,3.81391,2826.56
-89.0,28.0,6.6732700000000005,3.8105300000000004,2824.05
-89.0,29.0,6.67572,3.81193,2825.09
-89.0,30.0,6.6685,3.80781,2822.03
-89.0,31.0,6.66129,3.80369,2818.98
-89.0,32.0,6.6540799999999996,3.79957,2815.93
-89.0,33.0,6.646859999999999,3.79546,2812.88
-89.0,34.0,6.63965,3.79134,2809.82
-89.0,35.0,6.63244,3.7872199999999996,2806.77
-89.0,36.0,6.6252200000000006,3.7831,2803.72
