SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,H2O_Total,CO2,MnO,P2O5,Li,Be,B,F,S,Cl,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
45.806133659491536,1.6205707911853309,15.915605733184329,11.1620345711774,7.802748253855296,10.353646721461836,2.6309266548255676,0.5531948441515357,-1.0,-1.0,0.19106729698543096,0.21007399144995026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.4,127.0,77.0,50.4,103.0,24.5,-1.0,-1.0,-1.0,-1.0,4.58,317.0,31.86,110.67,2.44,-1.0,-1.0,6.57842,18.0400455,2.8975025,14.715022000000001,4.2112105,1.6027915,5.024154,0.8384244999999999,5.3195695,1.0858715,3.1294120000000003,0.43781950000000003,2.8219114999999997,0.421347
48.455767117070494,2.318754504074513,14.124596029996601,13.41208487207702,6.17200832188945,8.462753712023462,2.410784449879024,0.9533101994749831,-1.0,-1.0,0.2650862569369051,0.38112401469041823,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.3,166.0,44.0,45.6,45.5,20.3,-1.0,-1.0,-1.0,-1.0,20.6,187.0,54.83,196.74,5.78,-1.0,-1.0,15.034639,40.274771,5.7427835,26.69476,7.090357,2.1457015,8.382522,1.4247545,9.3306455,1.9827955,5.874569,0.8411005,5.513571,0.840703
47.83829598298479,0.6933670606786368,15.942403390807204,9.10040730360593,9.525734676648947,11.199692071688505,1.8039637189168023,1.1499008956894254,-1.0,-1.0,0.17434956612994792,0.08364747970396347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.0,111.0,257.0,48.2,176.0,38.2,-1.0,-1.0,-1.0,-1.0,33.6,82.9,24.75,44.4,2.06,-1.0,-1.0,4.1998345,8.706719,1.1859045,5.474496,1.7502265000000001,0.715614,2.658528,0.509708,3.6192624999999996,0.816874,2.50494,0.3691645,2.4699815000000003,0.3792205
48.801719428271895,1.9199889615647316,14.144918677777671,12.612183406301217,6.544962371583942,11.041936517498836,0.899994825733468,0.7859954811405621,-1.0,-1.0,0.2839983672314499,0.22599870068418196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.8,184.0,80.4,39.1,36.5,12.9,-1.0,-1.0,-1.0,-1.0,13.9,61.4,41.14,140.78,7.01,-1.0,-1.0,12.2226935,30.283679,4.300646,20.0991765,5.326387,1.8935689999999998,6.4020475,1.0769395,6.865378,1.430994,4.181795,0.6000989999999999,3.905042,0.589791
49.22513299863657,1.6275084590125979,15.27538651947942,11.451594024413478,6.707974054038411,8.277500024953508,2.9691032698202804,0.7717669105391436,-1.0,-1.0,0.1929417276347859,0.19494112377607903,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.2,125.0,51.7,48.0,87.3,110.0,-1.0,-1.0,-1.0,-1.0,9.33,215.0,32.63,133.44,3.9,-1.0,-1.0,7.2852475,19.039956,2.8755129999999998,13.974255,3.8179220000000003,1.3721255,4.4443415,0.7731755,5.131245,1.1086265,3.338492,0.47704199999999997,3.1289474999999998,0.46705850000000004
48.273282831752816,0.36810128640872436,14.904100998614112,6.858721577633519,12.103330341156425,13.023583557178236,1.1603192723753266,0.44112137854958544,-1.0,-1.0,0.12603467958559583,0.037010183687833695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.8,75.5,490.0,50.1,240.0,32.0,-1.0,-1.0,-1.0,-1.0,18.6,148.0,10.72,30.07,1.72,-1.0,-1.0,2.6871125,6.962491,0.954245,4.3872785,1.2055500000000001,0.424703,1.4764705,0.260138,1.6905320000000001,0.3500735,1.0055385000000001,0.1430035,0.9129155,0.1389575
41.66706735071466,2.6185038741309334,14.506312336915475,15.67848903616507,8.632102124986766,10.235064572648668,0.9060222530262925,2.6443902242173993,-1.0,-1.0,0.20808642954120343,0.4420592091688724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.5656345,356.907057,239.328402,56.183642,111.1321285,17.625125500000003,-1.0,-1.0,-1.0,-1.0,81.7597245,38.9782555,76.12,179.38,31.78,-1.0,-1.0,42.783964999999995,64.812291,11.773927,50.663306000000006,12.1994115,2.3096125,12.740599,2.002805,12.371886,2.4467990000000004,6.7818165,0.9125350000000001,5.58506,0.752818
42.323925608880174,2.5814096776325264,14.780893972971375,14.730419354709973,7.975086808946017,11.392981155637166,1.2092550173965764,0.5596552146628784,-1.0,-1.0,0.2688343799005612,0.4447260187946087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.0,184.0,96.8,55.5,69.0,15.7,-1.0,-1.0,-1.0,-1.0,5.51,104.0,53.38,153.81,4.4,-1.0,-1.0,12.154096,34.716058,5.6181160000000006,28.697836,7.9619135,2.664813,8.803608,1.422956,8.9955865,1.8592054999999998,5.3281495,0.7373339999999999,4.709183,0.699758
52.50694487717593,0.8337094905518072,16.451473091337906,13.079033241102849,4.252312590698639,9.690148251295414,1.2683027356266854,0.15471913713550084,-1.0,-1.0,0.2315859695977242,0.2207457752761286,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.72157,371.69046149999997,24.1677875,33.679373,14.5838535,12.254084,-1.0,-1.0,-1.0,-1.0,1.5825125,139.34984300000002,26.01,85.0,2.76,-1.0,-1.0,4.025319,11.782281,1.9308655,9.7761695,2.870705,1.0964,2.8324615,0.4266255,2.6778684999999998,0.5546005,1.6281154999999998,0.2357145,1.591404,0.23785699999999999
48.24995056864756,0.624805119763902,16.383889772496943,8.599855225329474,8.375387669411152,11.03555794731794,2.9290864014531723,0.9257112654421972,-1.0,-1.0,0.1599501106595589,0.07397692618004599,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,99.2,345.0,44.1,78.7,20.8,-1.0,-1.0,-1.0,-1.0,15.2,116.0,22.82,53.45,2.11,-1.0,-1.0,4.102734,11.194302,1.5183550000000001,6.9792665,2.049813,0.7277235,2.669744,0.49842549999999997,3.4566920000000003,0.768347,2.3180975000000004,0.34479400000000004,2.338805,0.356575
